cultura,precipitacao_mm_dia,umidade_especifica_2m_g_kg,umidade_relativa_2m_pct,temperatura_2m_c,rendimento_t_ha,cluster,outlier,score_anomalia,pca_1,pca_2
"Cocoa, beans",2967.41,18.67,85.48,26.46,7314,1,False,0.0007856387568521139,2.434134432403587,0.8975564576759499
"Cocoa, beans",2333.46,18.5,84.85,26.43,9502,0,False,0.09688015307329628,0.4235935137952802,1.2659171923710326
"Cocoa, beans",2109.34,18.51,83.52,26.72,8848,0,False,0.017221715168081464,-0.64265974339384,2.8262848328790557
Oil palm fruit,2248.92,17.72,83.4,26.01,169783,2,False,0.057246193981795646,-2.2495723686355955,-0.5708095312582007
Oil palm fruit,1938.42,17.54,82.11,26.11,201436,2,True,-0.020964947810704238,-3.921370680696902,0.17922499865981584
Oil palm fruit,2301.54,17.81,82.79,26.24,152343,2,False,0.04645289892077409,-2.2084060948668838,0.4487831591460953
Oil palm fruit,2592.35,17.61,85.07,25.56,181826,2,True,-0.002356916270556342,-1.0066286278529253,-2.983475915429647
Oil palm fruit,2344.72,17.61,84.12,25.76,178183,2,False,0.05071599243265723,-1.9669285227539568,-1.83519441983574
Oil palm fruit,2339.3,17.7,84.54,25.76,169781,2,False,0.06614536464510457,-1.569072218154771,-1.8534039812236776
Oil palm fruit,2326.09,18.09,84.63,26.11,166042,2,False,0.1295980659588259,-0.642789875422092,-0.2317126451927959
Oil palm fruit,2718.08,18.3,85.43,26.12,165262,1,False,0.1437429353687683,1.02789333741268,-0.4806403230778592
Oil palm fruit,2061.61,17.8,84.36,25.88,183004,2,False,0.04883091231132353,-2.002616138028557,-1.062334886886584
Oil palm fruit,1934.62,17.94,83.43,26.21,177543,2,False,0.04650948564669444,-2.374936951064214,0.5911947568668181
Oil palm fruit,2217.12,18.03,84.39,26.1,150428,2,False,0.11894942149957888,-1.1238218321327347,-0.17979555578072193
Oil palm fruit,2249.7,18.01,84.24,26.11,151070,2,False,0.11711837722210733,-1.1746117772820652,-0.14783909764718275
Oil palm fruit,2530.96,18.15,85.33,26.02,172165,1,False,0.12031548309252005,0.25184988372827166,-0.8309435559396714
Oil palm fruit,2504.7,18.19,85.45,26.02,160862,1,False,0.13054978677813256,0.34105818377729974,-0.7954392749599135
Oil palm fruit,2686.2,18.38,85.77,26.13,166136,1,False,0.1378882815914665,1.311132349016574,-0.4337722084981524
Oil palm fruit,2414.79,18.18,85.76,25.93,163541,1,False,0.09673699534294439,0.26912578118845903,-1.1305362220315243
Oil palm fruit,1999.53,18.2,84.36,26.27,164772,0,False,0.0725988836538346,-1.1911079820637802,0.7655624165429676
Oil palm fruit,2362.8,18.7,84.03,26.79,142425,0,False,0.024486142964183832,0.5660649910279686,2.941364507051906
Oil palm fruit,2792.95,18.24,86.04,25.95,165993,1,False,0.10032714090988382,1.3368902221556138,-1.3711390025518735
Oil palm fruit,2751.24,18.31,85.98,26.02,167621,1,False,0.12305831001427026,1.381414618006448,-0.9997195581116879
Oil palm fruit,2646.28,18.4,86.02,26.1,168476,1,False,0.12497826536292156,1.3941374936628328,-0.5582482243258413
Oil palm fruit,2302.99,18.22,84.48,26.25,162240,0,False,0.14036979833865154,-0.4644055918107852,0.4616809074463631
Oil palm fruit,2692.34,18.37,85.54,26.18,175629,1,False,0.13661631433839155,1.1978629650424046,-0.2163773807228158
Oil palm fruit,2424.55,18.28,85.16,26.18,180323,1,False,0.1382340218380465,0.25545814476567147,-0.00733245819002398
Oil palm fruit,2363.63,18.35,84.92,26.28,184629,0,False,0.13463008986752406,0.17176191007650182,0.53719213363282
Oil palm fruit,2892.78,18.49,86.09,26.18,190626,1,False,0.07051172528518146,2.153904549753226,-0.39354472553994685
Oil palm fruit,2729.53,18.41,86.03,26.11,183544,1,False,0.13171160026200263,1.5963739901590448,-0.5796451659067395
Oil palm fruit,3085.79,18.34,86.1,26.03,195523,1,False,0.02726961735376765,2.2059817935804475,-1.2221291050498835
Oil palm fruit,2922.18,18.43,85.51,26.23,182696,1,False,0.08777591959231457,1.7950110465074895,-0.13652100981626866
Oil palm fruit,2546.33,18.43,84.23,26.49,171189,0,False,0.08512704575109309,0.40891201012975587,1.4142248842187117
Oil palm fruit,2938.29,18.22,85.42,26.06,185831,1,False,0.09054818466115944,1.3001219260464452,-0.9455063281743323
Oil palm fruit,2771.73,18.38,84.98,26.3,186959,1,False,0.11909417658597865,1.119634742843359,0.3121429752208875
Oil palm fruit,2607.96,18.37,84.67,26.35,181496,0,False,0.12794131855632956,0.607799134468388,0.6884862288993534
Oil palm fruit,2604.59,18.19,83.44,26.43,203399,0,False,0.06632414150523225,-0.40154732157206247,1.1240266359042155
Oil palm fruit,2308.51,18.27,83.65,26.47,202379,0,False,0.09553534130749403,-0.7267581242508836,1.5096979086711941
Oil palm fruit,2410.13,18.58,83.45,26.81,172601,0,False,0.023483545457247623,0.11711683043430163,3.0027205809638997
Oil palm fruit,2967.41,18.67,85.48,26.46,199074,1,False,0.006749933442345202,2.434134432403587,0.8975564576759499
Oil palm fruit,2333.46,18.5,84.85,26.43,189657,0,False,0.09955266420989012,0.4235935137952802,1.2659171923710326
Oil palm fruit,2109.34,18.51,83.52,26.72,189896,0,False,0.012756364448736401,-0.64265974339384,2.8262848328790557
"Rice, paddy",2248.92,17.72,83.4,26.01,28409,2,False,0.06249635159698674,-2.2495723686355955,-0.5708095312582007
"Rice, paddy",1938.42,17.54,82.11,26.11,27619,2,True,-0.013861114928047313,-3.921370680696902,0.17922499865981584
"Rice, paddy",2301.54,17.81,82.79,26.24,26041,2,False,0.04287115017170917,-2.2084060948668838,0.4487831591460953
"Rice, paddy",2592.35,17.61,85.07,25.56,25187,2,True,-0.022758453864662576,-1.0066286278529253,-2.983475915429647
"Rice, paddy",2344.72,17.61,84.12,25.76,26648,2,False,0.046893499691791796,-1.9669285227539568,-1.83519441983574
"Rice, paddy",2339.3,17.7,84.54,25.76,26399,2,False,0.05230134504398398,-1.569072218154771,-1.8534039812236776
"Rice, paddy",2326.09,18.09,84.63,26.11,24686,2,False,0.12917915823232473,-0.642789875422092,-0.2317126451927959
"Rice, paddy",2718.08,18.3,85.43,26.12,25251,1,False,0.14333606509861885,1.02789333741268,-0.4806403230778592
"Rice, paddy",2061.61,17.8,84.36,25.88,26251,2,False,0.06042567913474661,-2.002616138028557,-1.062334886886584
"Rice, paddy",1934.62,17.94,83.43,26.21,27694,2,False,0.0622331855824626,-2.374936951064214,0.5911947568668181
"Rice, paddy",2217.12,18.03,84.39,26.1,28178,2,False,0.1282293301250403,-1.1238218321327347,-0.17979555578072193
"Rice, paddy",2249.7,18.01,84.24,26.11,29918,2,False,0.11823000234544628,-1.1746117772820652,-0.14783909764718275
"Rice, paddy",2530.96,18.15,85.33,26.02,30348,1,False,0.12718861361799882,0.25184988372827166,-0.8309435559396714
"Rice, paddy",2504.7,18.19,85.45,26.02,30614,1,False,0.13903550756750827,0.34105818377729974,-0.7954392749599135
"Rice, paddy",2686.2,18.38,85.77,26.13,31619,1,False,0.13293458908306316,1.311132349016574,-0.4337722084981524
"Rice, paddy",2414.79,18.18,85.76,25.93,32510,1,False,0.09990045478725379,0.26912578118845903,-1.1305362220315243
"Rice, paddy",1999.53,18.2,84.36,26.27,30676,0,False,0.0902607874252912,-1.1911079820637802,0.7655624165429676
"Rice, paddy",2362.8,18.7,84.03,26.79,28829,0,False,0.027488195859940556,0.5660649910279686,2.941364507051906
"Rice, paddy",2792.95,18.24,86.04,25.95,29415,1,False,0.09663527577484493,1.3368902221556138,-1.3711390025518735
"Rice, paddy",2751.24,18.31,85.98,26.02,30640,1,False,0.12404080823335079,1.381414618006448,-0.9997195581116879
"Rice, paddy",2646.28,18.4,86.02,26.1,31101,1,False,0.1229040698278463,1.3941374936628328,-0.5582482243258413
"Rice, paddy",2302.99,18.22,84.48,26.25,32385,0,False,0.13427559036405812,-0.4644055918107852,0.4616809074463631
"Rice, paddy",2692.34,18.37,85.54,26.18,33596,1,False,0.13942610299480113,1.1978629650424046,-0.2163773807228158
"Rice, paddy",2424.55,18.28,85.16,26.18,33260,1,False,0.13469483240496188,0.25545814476567147,-0.00733245819002398
"Rice, paddy",2363.63,18.35,84.92,26.28,34221,0,False,0.13220821528366444,0.17176191007650182,0.53719213363282
"Rice, paddy",2892.78,18.49,86.09,26.18,33907,1,False,0.0855704757664355,2.153904549753226,-0.39354472553994685
