modelo,CV_RMSE_medio,CV_RMSE_desvio,CV_fold_1,CV_fold_2,CV_fold_3,CV_fold_4,CV_fold_5,MAE,MSE,RMSE,R2,selecionado_por_cv
Extra Trees,7583.296063632233,2156.726889085478,6258.459837359536,4702.7651675452,7731.512952182292,8038.260230387258,11185.482130686878,3863.3939396441265,39289000.77328188,6268.09387080968,0.992423842718992,True
Random Forest,7871.48786095751,2166.137085214424,5630.53118877363,5396.245464869126,8821.621004014034,8285.225351640594,11223.816295490169,3818.1385719668315,43601864.876244076,6603.170819859507,0.9915921866286728,False
Regressão Linear,8211.14023518123,1231.8112144865945,7456.508547862301,6467.0779433732005,8543.761362417119,8422.683842645516,10165.669479608012,4563.352131493587,45869901.284892894,6772.732187595557,0.9911548377469812,False
Ridge,8608.385139123391,1318.2844763405146,7466.357114444844,6720.386028865319,9362.011847357702,9171.412123522545,10321.758581426551,5066.913353961474,62707257.35053016,7918.791407186463,0.9879080649800761,False
Gradient Boosting,9269.65198693655,3665.957640480387,8182.228920842096,3125.8185171991367,13924.35442317576,9277.015652376305,11838.842421089448,3949.8079612139577,44917210.18042243,6702.030302857667,0.9913385466096559,False
